,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Date_published,Success
0,you really are a troubled individual (i've never meant someone who isn't),justprompts,29739912,2021-02-27,General Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,2582,1,1,8,0,54,2021-02-28,0
1,"Untitled As of Now, Read and Tell Me What You Think!",Anonymous_of_Truth,29736486,2021-02-27,Not Rated,"F/M, M/M, Other","Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,410,1,0,3,0,44,2021-02-27,0
2,[GGAD]烂人,MeatSoup,29734722,2021-02-27,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,3268,1,0,1,0,15,2021-02-27,0
3,Stood Up,IhaveAbadfeelingAboutThis,29719893,2021-02-27,Mature,M/M,Underage,Complete Work,English,8816,1,1,6,1,68,2021-02-27,0
4,Lark's Song 2,AndreaRyan,29733315,2021-02-27,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,2035,1,0,5,0,35,2021-02-27,0
5,The Greater Good?,Dreamer1701,29183538,2021-02-27,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,68768,24,11,35,7,695,2021-02-03,0
6,Dreamer of Fears,Shadow_Chaser,19899562,2021-02-27,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Work in Progress,English,204008,32,12,35,21,2782,2007-07-22,0
7,Intervention,WampusRoar13,29337198,2021-02-26,Mature,"F/M, M/M, Multi",No Archive Warnings Apply,Work in Progress,English,55414,5,22,44,8,764,2021-02-10,1
8,В разбитом зеркале,WTF Grindeldore 2021 (grindeldore_1899),29720025,2021-02-26,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,0,1,0,2,0,39,2021-02-26,0
9,[授翻] [ggADgg] 德姆斯特朗的最佳学生,Sophia___14000605,27813031,2021-02-26,Explicit,M/M,Underage,Work in Progress,中文-普通话 國語,79916,11,0,12,4,552,2020-12-01,0
10,Protège-Moi,ThoseSadisticTendencies,27433657,2021-02-26,Explicit,"F/M, M/M","Graphic Depictions Of Violence, Rape/Non-Con",Work in Progress,English,114412,14,46,79,13,2015,2020-11-07,1
11,A Long and Irritating Friendship,RileyWilliamsJr,28526526,2021-02-26,General Audiences,"Gen, Multi",No Archive Warnings Apply,Work in Progress,English,29691,21,539,448,44,6832,2021-01-03,1
12,Never Too Careful,DrSalazar2U,19336843,2021-02-25,Explicit,M/M,No Archive Warnings Apply,Work in Progress,English,83105,15,44,106,15,4283,2019-06-23,1
13,To Boldly Go,Too_Much_Fandom,28516152,2021-02-25,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,25172,11,67,55,2,1191,2021-01-03,1
14,Следующие тринадцать лет,AhsokaBonteri,20326303,2021-02-25,Mature,Multi,Choose Not To Use Archive Warnings,Work in Progress,Русский,26117,18,0,44,1,570,2019-08-20,1
15,For the Greater Good,greenmoon830,29695653,2021-02-25,Not Rated,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,1603,1,1,5,0,43,2021-02-25,0
16,The Greater Good - Part One,IhaveAbadfeelingAboutThis,19822066,2021-02-25,Explicit,M/M,Underage,Work in Progress,English,392212,61,667,336,53,12566,2019-07-15,1
17,Closer Than Brothers:  Continued,AlbusGellertAlways,29179806,2021-02-25,Mature,M/M,Underage,Work in Progress,English,23642,3,14,15,1,218,2021-02-03,0
18,The Phoenix Burns Brightest,AnyaYanko,17475989,2021-02-24,Teen And Up Audiences,"F/M, M/M, Multi","No Archive Warnings Apply, Major Character Death",Work in Progress,English,169336,56,899,1275,318,35789,2019-01-19,1
19,I'm Still Standing,comradecourt,29684463,2021-02-24,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,3720,1,2,3,1,59,2021-02-24,0
20,意若思,Sodium_Na,29675172,2021-02-24,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,3248,1,0,0,0,12,2021-02-24,0
21,The Past is Now My Present,Eden_Potter_27,29511699,2021-02-23,Teen And Up Audiences,"M/M, F/F, F/M, Multi",Major Character Death,Work in Progress,English,2859,4,6,39,10,528,2021-02-17,1
22,"Together, We Can Go Anywhere",Bubble_Pomme,26408614,2021-02-23,Teen And Up Audiences,"M/M, F/M",No Archive Warnings Apply,Work in Progress,English,60320,13,62,103,5,1752,2020-09-11,1
23,and he smiled (with a mouthful of bloody teeth),justprompts,29236707,2021-02-23,General Audiences,"F/M, M/M, F/F",No Archive Warnings Apply,Work in Progress,English,30350,9,77,156,33,2221,2021-02-23,1
24,You're Just Too Good To Be True,the2017oscars,29650629,2021-02-23,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,4195,1,9,12,0,101,2021-02-23,0
25,Cliché,BocaDeSerpiente,29167050,2021-02-22,Teen And Up Audiences,"F/F, M/M",Choose Not To Use Archive Warnings,Complete Work,Español,15467,24,6,48,2,575,2021-02-03,1
26,My Protective Devils,BlueHollows003,29103822,2021-02-22,Not Rated,"F/F, F/M, M/M, Other","Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,1973,2,64,209,67,2068,2021-02-02,1
27,L'aube de papier,ericna_catangels87,29224065,2021-02-21,Mature,Multi,Choose Not To Use Archive Warnings,Work in Progress,Français,11500,4,8,14,3,159,2021-02-05,0
28,The Parseltongue Twins: Year Four,blackholebabey,28078383,2021-02-21,Teen And Up Audiences,Gen,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Work in Progress,English,61979,17,209,292,47,10090,2020-12-14,1
29,Reunited Peverells,WampusRoar13,29612535,2021-02-21,General Audiences,"F/M, M/M, Multi",No Archive Warnings Apply,Work in Progress,English,20648,2,20,40,4,269,2021-02-21,1
30,His Wizard,IhaveAbadfeelingAboutThis,29609433,2021-02-21,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,7212,3,0,21,4,75,2021-02-21,0
31,A Different Kind of Magic,seastar91,27683381,2021-02-21,Mature,No category,Choose Not To Use Archive Warnings,Work in Progress,English,70740,19,71,72,4,1867,2020-11-23,1
32,Dark Humor,Dragon_MoonX,14017806,2021-02-21,Teen And Up Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,73629,111,20,152,11,3441,2018-03-18,1
33,Nurmengard,violettavioletta,29599485,2021-02-20,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,1138,1,0,16,0,147,2021-02-21,0
34,Любовь — это… не завоевывать страну любимого,WTF HP Adventurers 2021 (HP_Adventurers),29587146,2021-02-20,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,703,1,0,5,0,54,2021-02-20,0
35,Дар предсказания,WTF Fantastic Beasts 2021 (WTF_Fantastic_Beasts_2021),29588604,2021-02-20,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,2170,1,2,6,0,82,2021-02-20,0
36,Пять раз когда и один когда,WTF Fantastic Beasts 2021 (WTF_Fantastic_Beasts_2021),29588517,2021-02-21,Mature,"F/M, M/M, Other",No Archive Warnings Apply,Complete Work,Русский,237,1,2,6,0,62,2021-02-20,0
